Date,State,Confirmed,Recovered,Deaths,Other,Tested
2021-10-07,Maharashtra,6570472,6394075,139411,3589,59766957
2021-10-07,Meghalaya,82162,79468,1413,0,1096520
2021-10-07,Manipur,121578,117950,1876,0,1318415
2021-10-07,Madhya Pradesh,792600,781964,10522,0,18947904
2021-10-07,Mizoram,102629,87148,342,0,1142781
2021-10-07,Nagaland,31397,29411,668,1005,379801
2021-10-07,Odisha,1029994,1017116,8287,0,20443634
2021-10-07,Punjab,601805,585020,16526,0,14744319
2021-10-07,Puducherry,126806,124307,1844,0,1830548
2021-10-07,Rajasthan,954349,945350,8954,0,14483216
2021-10-07,Sikkim,31603,30532,388,316,252150
2021-10-07,Telangana,667334,659043,3926,0,26666977
2021-10-07,Tamil Nadu,2674233,2621986,35734,0,48036604
2021-10-07,Tripura,84208,83186,812,63,1923980
2021-10-07,India,33914477,33217641,450161,13077,580043190
2021-10-07,Uttar Pradesh,1709917,1686869,22896,0,79784013
2021-10-07,Uttarakhand,343626,329967,7396,6107,7495348
2021-10-07,West Bengal,1574017,1547548,18876,0,18397463
2021-10-08,Andaman and Nicobar Islands,7629,7490,129,0,565922
2021-10-08,Andhra Pradesh,2055999,2033447,14242,0,28660811
2021-10-08,Arunachal Pradesh,54865,54196,280,0,1160347
2021-10-08,Assam,604536,594506,5916,1347,23915623
2021-10-08,Bihar,725983,716288,9661,1,47195293
2021-10-08,Chandigarh,65273,64410,820,0,754856
2021-10-08,Chhattisgarh,1005485,991705,13569,0,13280360
2021-10-08,Delhi,1439136,1413649,25088,0,28143702
2021-10-08,Dadra and Nagar Haveli and Daman and Diu,10675,10638,4,31,72410
2021-10-08,Goa,176980,172907,3325,0,1386708
2021-10-08,Gujarat,826099,815838,10085,0,29798130
2021-10-08,Himachal Pradesh,220254,215155,3680,17,3524136
2021-10-08,Haryana,770975,760821,9875,0,12582585
2021-10-08,Jharkhand,348334,343087,5135,0,15136951
2021-10-08,Jammu and Kashmir,330352,324827,4426,0,15246990
2021-10-08,Karnataka,2980170,2930867,37866,29,48554234
2021-10-08,Kerala,4774639,4631330,26072,529,36068472
2021-10-08,Ladakh,20848,20580,208,0,543279
2021-10-08,Lakshadweep,10364,10267,51,43,257610
2021-10-08,Maharashtra,6573092,6397018,139470,3593,59914679
2021-10-08,Meghalaya,82283,79542,1415,0,1099364
2021-10-08,Manipur,121706,118141,1882,0,1320833
2021-10-08,Madhya Pradesh,792606,781973,10522,0,19008836
2021-10-08,Mizoram,103709,88358,344,0,1151163
2021-10-08,Nagaland,31410,29445,669,1007,380544
2021-10-08,Odisha,1030518,1017714,8291,0,20510358
2021-10-08,Punjab,601821,585056,16529,0,14772168
2021-10-08,Puducherry,126893,124402,1845,0,1836200
